"","AETdiff","AMK","GEN","TOB","CIP","LEV","COL","ATM","CAZ","FEP","MEM","IPM","TZP"
"171","0","8","2","0.5","0.125","0.5","0.25","8","4","4","0.25","2","8"
"172","0","8","2","1","0.25","0.5","0.5","8","8","8","0.5","1","8"
"173","1","32","16","4","0.5","2","1","8","4","8","0.5","1","4"
"174","1","32","16","4","0.5","2","0.5","8","4","8","0.125","2","4"
"175","0","4","2","0.5","0.125","0.5","0.5","8","4","2","1","2","4"
"176","1","8","4","2","0.125","0.5","1","8","4","2","0.25","1","8"
"177","0","4","4","0.5","0.125","0.5","0.5","4","4","4","1","4","8"
"178","0","8","4","2","0.25","2","1","8","4","4","1","4","4"
"179","0","8","2","0.5","0.25","0.5","1","4","4","2","1","2","4"
"180","0","4","2","0.5","0.25","1","1","8","4","4","0.25","2","4"
"181","0","4","2","0.5","0.25","2","1","8","4","4","0.25","2","8"
"182","0","4","2","0.5","2","1","4","8","4","2","0.5","4","8"
"183","0","4","2","0.5","0.25","1","1","8","4","4","0.125","2","4"
"184","0","8","2","1","0.25","0.5","0.5","4","2","4","0.25","2","16"
"185","0","4","2","0.5","0.25","1","0.5","8","4","4","0.25","8","4"
"186","0","4","2","0.5","0.125","0.5","2","8","4","2","2","1","8"
"187","0","4","2","1","0.125","0.5","2","8","4","4","0.5","1","4"
"188","0","4","2","0.5","0.125","0.25","1","4","2","2","0.125","1","4"
"189","0","16","8","1","0.25","1","2","16","8","16","0.25","1","8"
"190","0","4","2","0.5","0.0625","0.25","0.5","1","4","1","0.25","1","4"
"191","0","2","2","0.5","0.0625","0.25","0.5","1","1","0.5","0.125","1","4"
"192","0","4","2","1","0.125","0.5","1","4","4","2","0.125","1","4"
"193","0","4","2","1","0.125","0.5","1","4","2","2","0.25","1","4"
"194","0","4","2","0.5","0.125","0.5","1","4","2","2","0.125","1","4"
"195","0","4","4","0.5","0.125","0.5","1","4","2","4","0.125","4","4"
"196","0","4","4","1","0.125","0.5","1","4","4","4","2","2","4"
"197","0","8","4","2","1","0.5","2","8","4","2","0.5","2","4"
"198","0","8","4","1","0.125","0.5","2","8","4","4","0.5","2","4"
"199","0","8","4","1","0.25","0.5","2","8","4","4","1","2","8"
"200","0","4","4","1","0.25","0.5","2","8","4","4","1","2","8"
"201","1","4","4","0.5","0.125","0.5","0.5","8","4","2","0.25","2","4"
"202","1","4","2","0.5","0.125","1","0.5","16","4","4","0.25","1","8"
"203","1","4","2","0.5","0.125","0.5","2","4","2","8","0.25","1","4"
"204","1","4","4","0.5","0.25","0.5","0.5","8","4","4","0.5","2","4"
"205","1","4","2","0.5","0.125","0.5","0.5","8","8","2","0.5","1","4"
"206","1","4","8","1","0.25","0.5","1","8","4","2","0.25","1","4"
"207","1","4","2","0.5","0.25","0.5","0.5","4","4","2","0.25","1","4"
"208","1","2","2","0.5","0.125","0.5","1","4","4","2","0.125","0.5","4"
"209","1","2","1","0.5","0.125","0.25","0.5","8","8","2","0.5","1","8"
"210","1","4","2","0.5","0.125","0.5","0.5","4","2","2","0.125","1","4"
"211","0","4","2","1","0.125","0.5","1","8","4","2","1","2","8"
"212","0","4","4","1","0.25","0.5","0.5","8","8","4","0.5","4","8"
"213","0","4","4","1","0.25","0.5","1","4","4","2","0.5","2","4"
"214","0","4","2","1","0.125","0.5","0.5","8","4","1","0.125","1","4"
"215","0","4","2","0.5","0.0625","0.25","1","4","2","1","0.5","2","4"
"216","0","4","2","4","0.125","0.5","2","4","2","2","0.5","2","4"
"217","0","4","4","1","0.125","0.5","1","8","4","2","0.25","2","8"
"218","1","4","4","0.5","0.125","0.5","2","8","4","2","0.25","2","4"
"219","1","16","256","256","2","4","0.25","32","256","64","16","16","32"
"220","1","32","256","256","4","4","0.25","32","256","64","16","16","32"
"221","1","16","256","256","2","8","0.25","16","256","64","16","16","128"
"222","1","16","256","256","2","4","0.25","16","256","64","8","16","32"
"223","0","4","4","0.5","0.125","0.5","1","4","4","2","0.5","2","4"
"224","0","4","4","1","0.25","0.5","1","8","8","4","0.125","1","8"
"225","0","4","4","0.5","0.25","1","1","8","4","2","0.25","1","4"
"226","0","4","4","1","0.25","1","1","16","16","2","0.25","1","8"
"227","0","8","4","1","0.5","1","1","16","4","4","0.25","1","8"
"228","0","4","4","1","0.5","1","1","8","4","4","0.25","1","16"
"229","0","4","8","1","0.25","0.5","0.5","8","8","8","1","2","8"
"230","0","4","4","1","0.25","0.5","1","8","4","2","1","2","8"
"231","0","8","4","1","0.25","1","1","16","4","2","1","2","4"
